LogFilename: 2020-02-28-21:47:57_monitoringLog
JSonLogFilename: 2020-02-28-21:47:57_monitoringLog
vector_extension	in_data_x_f	in_data_y_f	mid_pos_xc_f	mid_data_yc_f	predicate	settingIdx	runtime:µs	runtime select:µs	runtime project:µs	runtime agg_sum:µs	inDataX_countValues	inDataX_sizeUsedByte	inDataY_countValues	inDataY_sizeUsedByte	midPosXC_countValues	midPosXC_sizeUsedByte	midDataYC_countValues	midDataYC_sizeUsedByte	check
avx512<v512<uint64_t>>	uncompr_f	uncompr_f	uncompr_f	uncompr_f	0	1	1610757	637134	695804	177519	134217728	1073741824	134217728	1073741824	120794454	966355632	120794454	966355632	-1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	uncompr_f	uncompr_f	0	1	1659879	745545	753627	117557	134217728	1056964608	134217728	1056964608	120794454	966355632	120794454	966355632	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	0	1	1659520	471153	1026477	130593	134217728	1056964608	134217728	1056964608	120794454	407686320	120794454	951264432	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	1	958972	213370	627056	96089	134217728	1056964608	134217728	1056964608	120794454	68078064	120794454	973921904	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	1	526654	232749	261590	25930	134217728	1056964608	134217728	1056964608	120794454	169886256	120794454	101939568	1
avx512<v512<uint64_t>>	uncompr_f	uncompr_f	uncompr_f	uncompr_f	0	2	1094358	468794	507926	76703	134217728	1073741824	134217728	1073741824	120795972	966367776	120795972	966367776	-1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	uncompr_f	uncompr_f	0	2	1053324	456500	479649	76592	134217728	100663296	134217728	100663296	120795972	966367776	120795972	966367776	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	0	2	376714	220577	135023	10443	134217728	100663296	134217728	100663296	120795972	407691360	120795972	90600096	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	2	755789	88534	549172	96106	134217728	100663296	134217728	100663296	120795972	68082528	120795972	973934112	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	2	391496	147079	212507	25946	134217728	100663296	134217728	100663296	120795972	169891616	120795972	101944352	1
avx512<v512<uint64_t>>	uncompr_f	uncompr_f	uncompr_f	uncompr_f	0	3	1095240	468703	509129	76607	134217728	1073741824	134217728	1073741824	120796815	966374520	120796815	966374520	-1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	uncompr_f	uncompr_f	0	3	1087193	462778	508049	76572	134217728	100663296	134217728	805306368	120796815	966374520	120796815	966374520	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	0	3	719576	206341	426164	63230	134217728	100663296	134217728	805306368	120796815	407693368	120796815	724787320	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	3	295731	88524	182130	23038	134217728	100663296	134217728	805306368	120796815	68083320	120796815	22674168	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	3	376835	146891	201872	23849	134217728	100663296	134217728	805306368	120796815	169891640	120796815	26446200	1
avx512<v512<uint64_t>>	uncompr_f	uncompr_f	uncompr_f	uncompr_f	0	4	1114538	468298	528876	76645	134217728	1073741824	134217728	1073741824	120796124	966368992	120796124	966368992	-1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	uncompr_f	uncompr_f	0	4	1153766	499272	528104	86851	134217728	1056964608	134217728	1056964608	120796124	966368992	120796124	966368992	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	0	4	953805	290334	551015	84612	134217728	1056964608	134217728	1056964608	120796124	407692576	120796124	951277600	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	4	871344	166102	587784	96023	134217728	1056964608	134217728	1056964608	120796124	68084512	120796124	973935328	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	static_vbp_f<vbp_l<bw, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	for_f<1024, 8, dynamic_vbp_f<512, 64, 8>>	0	4	512200	225614	255095	25809	134217728	1056964608	134217728	1056964608	120796124	169892832	120796124	101945568	1
