LogFilename: 2020-03-08-17:14:08_monitoringLog
JSonLogFilename: 2020-03-08-17:14:08_monitoringLog
vector_extension	format	bitwidth	countValues	repetition	runtime:µs	runtime compr [µs]	size used [byte]	size compr [byte]	runtime decompr [µs]	runtime agg [µs]	check
scalar<v64<uint64_t>>	uncompr_f	1	134217728	1	104178	0	1073741824	0	0	104172	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	1	134217728	1	554147	110594	17039360	17039360	435505	7333	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	1	134217728	1	535659	90542	16777216	16777216	437881	7215	1
scalar<v64<uint64_t>>	uncompr_f	2	134217728	1	103884	0	1073741824	0	0	103871	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	2	134217728	1	557803	116080	33816576	33816576	432854	7480	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	2	134217728	1	540200	100198	33554432	33554432	431217	7398	1
scalar<v64<uint64_t>>	uncompr_f	3	134217728	1	104318	0	1073741824	0	0	104301	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	3	134217728	1	573614	123608	50593792	50593792	439409	8514	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	3	134217728	1	560014	106867	50331648	50331648	442609	8484	1
scalar<v64<uint64_t>>	uncompr_f	4	134217728	1	104052	0	1073741824	0	0	104030	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	4	134217728	1	573098	129036	67371008	67371008	432353	8958	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	4	134217728	1	556074	113425	67108864	67108864	430944	8958	1
scalar<v64<uint64_t>>	uncompr_f	5	134217728	1	104042	0	1073741824	0	0	104016	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	5	134217728	1	588586	137769	84148224	84148224	436806	10595	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	5	134217728	1	568430	120470	83886080	83886080	434208	10341	1
scalar<v64<uint64_t>>	uncompr_f	6	134217728	1	104058	0	1073741824	0	0	104028	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	6	134217728	1	595783	143734	100925440	100925440	436614	11353	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	6	134217728	1	593722	126422	100663296	100663296	451937	11299	1
scalar<v64<uint64_t>>	uncompr_f	7	134217728	1	103986	0	1073741824	0	0	103952	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	7	134217728	1	610650	150882	117702656	117702656	442314	12685	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	7	134217728	1	602557	136293	117440512	117440512	448849	12650	1
scalar<v64<uint64_t>>	uncompr_f	8	134217728	1	104090	0	1073741824	0	0	104052	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	8	134217728	1	621275	166846	134479872	134479872	435372	13671	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	8	134217728	1	609179	138716	134217728	134217728	432932	32228	1
scalar<v64<uint64_t>>	uncompr_f	9	134217728	1	103930	0	1073741824	0	0	103887	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	9	134217728	1	628560	164797	151257088	151257088	441787	15901	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	9	134217728	1	628681	148955	150994944	150994944	458045	15838	1
