LogFilename: 2020-03-08-19:41:10_monitoringLog
JSonLogFilename: 2020-03-08-19:41:10_monitoringLog
vector_extension	format	bitwidth	countValuesSmall	countValuesLarge	repetition	runtime:µs	runtime compr [µs]	runtime decompr [µs]	check
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	1	1024	134217728	1	40516	23111	16403	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	1	1024	134217728	1	12519	6769	5744	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	2	1024	134217728	1	45549	27885	16191	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	2	1024	134217728	1	22613	15659	5835	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	3	1024	134217728	1	53759	34249	17363	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	3	1024	134217728	1	31838	22846	7178	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	4	1024	134217728	1	62051	42267	16884	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	4	1024	134217728	1	39372	28972	7885	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	5	1024	134217728	1	71087	48230	19371	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	5	1024	134217728	1	49095	36683	9132	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	6	1024	134217728	1	78904	55303	19118	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	6	1024	134217728	1	57703	43267	10318	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	7	1024	134217728	1	88019	62118	20655	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	7	1024	134217728	1	67651	50919	11840	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	8	1024	134217728	1	95058	68366	20733	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	8	1024	134217728	1	75408	56690	13153	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	9	1024	134217728	1	105995	76256	23104	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	9	1024	134217728	1	85962	65076	14604	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	10	1024	134217728	1	114172	83048	23786	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	10	1024	134217728	1	93739	71286	15475	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	11	1024	134217728	1	124021	90576	25437	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	11	1024	134217728	1	104529	79299	17577	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	12	1024	134217728	1	132613	97869	26028	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	12	1024	134217728	1	111542	84839	18318	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	13	1024	134217728	1	142215	105003	27846	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	13	1024	134217728	1	122779	92768	20934	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	14	1024	134217728	1	151092	111383	29652	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	14	1024	134217728	1	129868	99180	20961	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	15	1024	134217728	1	159825	118183	30914	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	15	1024	134217728	1	141516	106503	24613	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	16	1024	134217728	1	166016	124368	30218	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	16	1024	134217728	1	146797	112332	23374	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	17	1024	134217728	1	177379	131969	33327	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	17	1024	134217728	1	159848	120452	27594	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	18	1024	134217728	1	186992	139911	34327	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	18	1024	134217728	1	166224	127097	26678	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	19	1024	134217728	1	196832	147058	36342	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	19	1024	134217728	1	179793	134868	31677	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	20	1024	134217728	1	206817	155524	37162	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	20	1024	134217728	1	184670	141722	29150	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	21	1024	134217728	1	214828	160889	39195	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	21	1024	134217728	1	199228	149971	34818	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	22	1024	134217728	1	220926	166944	38547	1
