LogFilename: 2020-03-08-20:17:08_monitoringLog
JSonLogFilename: 2020-03-08-20:17:08_monitoringLog
vector_extension	format	countValues	repetition	runtime:µs	runtime compr [µs]	runtime decompr [µs]	runtime agg [µs]	runtime compr cache2cache [µs]	check
avx512<v512<uint64_t>>	delta_f<8>	134217728	1	550889	89623	441084	10041	10127	0
avx512<v512<uint64_t>>	for_f<8>	134217728	1	563488	100040	431063	10156	22212	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	2	553207	89577	443433	10056	10123	0
avx512<v512<uint64_t>>	for_f<8>	134217728	2	566262	100130	433879	10162	22069	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	3	551486	89663	441628	10042	10131	0
avx512<v512<uint64_t>>	for_f<8>	134217728	3	563519	100152	430993	10153	22196	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	4	567153	89560	441026	10042	26496	0
avx512<v512<uint64_t>>	for_f<8>	134217728	4	563459	100124	430876	10155	22276	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	5	566105	99413	446481	10042	10142	0
avx512<v512<uint64_t>>	for_f<8>	134217728	5	575771	100067	443472	10157	22042	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	6	553256	89601	443369	10129	10125	0
avx512<v512<uint64_t>>	for_f<8>	134217728	6	584263	118041	434066	10154	21965	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	7	554978	89612	445170	10040	10123	0
avx512<v512<uint64_t>>	for_f<8>	134217728	7	573729	100130	441404	10156	21998	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	8	550791	89561	441022	10042	10129	0
avx512<v512<uint64_t>>	for_f<8>	134217728	8	582330	118066	431904	10154	22159	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	9	554400	89514	444679	10040	10129	0
avx512<v512<uint64_t>>	for_f<8>	134217728	9	572779	100143	440219	10160	22210	0
avx512<v512<uint64_t>>	delta_f<8>	134217728	10	550712	89623	440881	10042	10123	0
avx512<v512<uint64_t>>	for_f<8>	134217728	10	563470	99917	431277	10197	22026	0
