LogFilename: 2020-06-01-21:42:38_monitoringLog
JSonLogFilename: 2020-06-01-21:42:38_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
C_250	uncompr_f	uncompr_f	2	0	16	0
C_250	static_vbp_f<vbp_l<1, 8> >	static_vbp_f<vbp_l<bw, 8> >	2	0	144	0
C_250	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	2	0	8336	0
C_250	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2	0	16656	0
C_250	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2	0	16784	0
C_82	uncompr_f	uncompr_f	729	0	5832	0
C_82	static_vbp_f<vbp_l<12, 8> >	static_vbp_f<vbp_l<bw, 8> >	729	512	4040	768
C_82	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	729	512	10888	832
C_82	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	729	0	22472	0
C_82	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	729	0	22600	0
X_232	uncompr_f	uncompr_f	2311643	0	18493144	0
X_232	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	2311643	2311168	6940376	6933504
X_232	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	2311643	2311168	6950168	6938048
X_232	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	18654232	18633792
X_232	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	7116568	7096000
X_240_0	uncompr_f	uncompr_f	40125	0	321000	0
X_240_0	static_vbp_f<vbp_l<5, 8> >	static_vbp_f<vbp_l<bw, 8> >	40125	39936	27112	24960
X_240_0	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	40125	39936	34920	25088
X_240_0	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	40125	39936	340136	321984
X_240_0	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	40125	39936	46056	27776
customer.c_region	uncompr_f	uncompr_f	3000000	0	24000000	0
customer.c_region	static_vbp_f<vbp_l<3, 8> >	static_vbp_f<vbp_l<bw, 8> >	3000000	2999808	1126848	1124928
customer.c_region	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	3000000	2999808	1140672	1130816
customer.c_region	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	3000000	2999296	24204096	24181824
customer.c_region	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	3000000	2999296	1358080	1335680
lineorder.lo_suppkey	uncompr_f	uncompr_f	600038145	0	4800305160	0
lineorder.lo_suppkey	static_vbp_f<vbp_l<18, 8> >	static_vbp_f<vbp_l<bw, 8> >	600038145	600037888	1350089608	1350085248
lineorder.lo_suppkey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	600038145	600037888	1351267592	1351257216
lineorder.lo_suppkey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	4837824136	4837801344
lineorder.lo_suppkey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	1392297160	1392274240
C_175	uncompr_f	uncompr_f	40125	0	321000	0
C_175	static_vbp_f<vbp_l<18, 8> >	static_vbp_f<vbp_l<bw, 8> >	40125	39936	93672	89856
C_175	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	40125	39936	93544	83712
C_175	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	40125	39936	55592	37440
C_175	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	40125	39936	83496	65216
X_130	uncompr_f	uncompr_f	559300	0	4474400	0
X_130	static_vbp_f<vbp_l<21, 8> >	static_vbp_f<vbp_l<bw, 8> >	559300	559104	1471904	1467648
X_130	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	559300	559104	1374304	1364416
X_130	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	559300	559104	472160	453952
X_130	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	559300	559104	861408	843072
supplier.s_nation	uncompr_f	uncompr_f	200000	0	1600000	0
supplier.s_nation	static_vbp_f<vbp_l<5, 8> >	static_vbp_f<vbp_l<bw, 8> >	200000	199680	128000	124800
supplier.s_nation	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	200000	199680	136128	125248
supplier.s_nation	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	1629120	1609920
supplier.s_nation	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	158208	138880
X_92	uncompr_f	uncompr_f	144419127	0	1155353016	0
X_92	static_vbp_f<vbp_l<20, 8> >	static_vbp_f<vbp_l<bw, 8> >	144419127	144418816	361052088	361047040
X_92	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	144419127	144418816	361339960	361329152
X_92	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	1164395832	1164376704
X_92	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	371220792	371201536
X_232_1	uncompr_f	uncompr_f	57707826	0	461662608	0
X_232_1	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	57707826	57707520	173128080	173122560
X_232_1	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	57707826	57707520	173245584	173234816
X_232_1	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	57707826	57707520	465285968	465266880
X_232_1	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	57707826	57707520	177197264	177178048
lineorder.lo_supplycost	uncompr_f	uncompr_f	600038145	0	4800305160	0
lineorder.lo_supplycost	static_vbp_f<vbp_l<17, 8> >	static_vbp_f<vbp_l<bw, 8> >	600038145	600037888	1275084744	1275080512
