colName	format	repetition	runtime
lineorder.lo_discount	uncompr	1	4533026
lineorder.lo_discount	uncompr	2	4548115
lineorder.lo_discount	uncompr	3	4538890
lineorder.lo_discount	static_vbp_4	1	4039612
lineorder.lo_discount	static_vbp_4	2	4041339
lineorder.lo_discount	static_vbp_4	3	4037856
lineorder.lo_discount	static_vbp_8	1	4099458
lineorder.lo_discount	static_vbp_8	2	4087176
lineorder.lo_discount	static_vbp_8	3	4089004
lineorder.lo_extendedprice	static_vbp_24	1	3955189
lineorder.lo_extendedprice	static_vbp_24	2	3949787
lineorder.lo_extendedprice	static_vbp_24	3	3954410
lineorder.lo_extendedprice	static_vbp_32	1	3967838
lineorder.lo_extendedprice	static_vbp_32	2	3962714
lineorder.lo_extendedprice	static_vbp_32	3	3959531
date.d_yearmonthnum	static_vbp_18	1	3973395
date.d_yearmonthnum	static_vbp_18	2	3972186
date.d_yearmonthnum	static_vbp_18	3	3972192
date.d_yearmonthnum	static_vbp_24	1	3975663
date.d_yearmonthnum	static_vbp_24	2	3982427
date.d_yearmonthnum	static_vbp_24	3	3974892
date.d_yearmonthnum	static_vbp_32	1	3966816
date.d_yearmonthnum	static_vbp_32	2	3974076
date.d_yearmonthnum	static_vbp_32	3	3972326
date.d_yearmonthnum	dynamic_vbp	1	3965382
date.d_yearmonthnum	dynamic_vbp	2	3972038
date.d_yearmonthnum	dynamic_vbp	3	3968619
date.d_yearmonthnum	delta+dynamic_vbp	1	3974326
date.d_yearmonthnum	delta+dynamic_vbp	2	3978196
date.d_yearmonthnum	delta+dynamic_vbp	3	3983501
date.d_yearmonthnum	for+dynamic_vbp	1	3957506
date.d_yearmonthnum	for+dynamic_vbp	2	3956512
date.d_yearmonthnum	for+dynamic_vbp	3	3957342
lineorder.lo_orderdate	static_vbp_25	1	3890950
lineorder.lo_orderdate	static_vbp_25	2	3888508
lineorder.lo_orderdate	static_vbp_25	3	3889971
lineorder.lo_orderdate	static_vbp_26	1	3895227
lineorder.lo_orderdate	static_vbp_26	2	3886806
lineorder.lo_orderdate	static_vbp_26	3	3891150
lineorder.lo_orderdate	static_vbp_32	1	3898207
lineorder.lo_orderdate	static_vbp_32	2	3893211
lineorder.lo_orderdate	static_vbp_32	3	3889000
date.d_datekey	static_vbp_25	1	3893134
date.d_datekey	static_vbp_25	2	3887605
date.d_datekey	static_vbp_25	3	3893252
date.d_datekey	static_vbp_26	1	3911797
date.d_datekey	static_vbp_26	2	3900263
date.d_datekey	static_vbp_26	3	3894132
date.d_datekey	static_vbp_32	1	3985363
date.d_datekey	static_vbp_32	2	3982549
date.d_datekey	static_vbp_32	3	3988190
lineorder.lo_quantity	static_vbp_6	1	3625865
lineorder.lo_quantity	static_vbp_6	2	3632287
lineorder.lo_quantity	static_vbp_6	3	3634988
lineorder.lo_quantity	static_vbp_8	1	3621772
lineorder.lo_quantity	static_vbp_8	2	3622027
lineorder.lo_quantity	static_vbp_8	3	3620143
lineorder.lo_quantity	dynamic_vbp	1	3679499
lineorder.lo_quantity	dynamic_vbp	2	3690492
lineorder.lo_quantity	dynamic_vbp	3	3676557
lineorder.lo_quantity	delta+dynamic_vbp	1	4169662
lineorder.lo_quantity	delta+dynamic_vbp	2	4159342
lineorder.lo_quantity	delta+dynamic_vbp	3	4164921
lineorder.lo_quantity	for+dynamic_vbp	1	3744770
lineorder.lo_quantity	for+dynamic_vbp	2	3743946
lineorder.lo_quantity	for+dynamic_vbp	3	3746614
X_57	static_vbp_25	1	3597693
X_57	static_vbp_25	2	3597681
X_57	static_vbp_25	3	3597117
X_57	static_vbp_26	1	3598647
X_57	static_vbp_26	2	3602656
X_57	static_vbp_26	3	3602194
X_57	static_vbp_32	1	3598101
X_57	static_vbp_32	2	3599572
X_57	static_vbp_32	3	3596557
X_57	dynamic_vbp	1	3608242
X_57	dynamic_vbp	2	3609760
X_57	dynamic_vbp	3	3608929
X_57	delta+dynamic_vbp	1	3698423
X_57	delta+dynamic_vbp	2	3701651
X_57	delta+dynamic_vbp	3	3705912
X_57	for+dynamic_vbp	1	3581396
X_57	for+dynamic_vbp	2	3579671
X_57	for+dynamic_vbp	3	3582032
C_79	static_vbp_10	1	3593638
C_79	static_vbp_10	2	3591647
C_79	static_vbp_10	3	3596354
C_79	static_vbp_16	1	3594041
