colName	format
date.d_year	static_vbp_12
part.p_brand	uncompr
lineorder.lo_supplycost	static_vbp_24
customer.c_custkey	uncompr
customer.c_region	dynamic_vbp
lineorder.lo_custkey	static_vbp_22
supplier.s_suppkey	uncompr
supplier.s_nation	dynamic_vbp
lineorder.lo_revenue	static_vbp_24
lineorder.lo_suppkey	static_vbp_18
part.p_partkey	static_vbp_24
supplier.s_city	uncompr
lineorder.lo_partkey	uncompr
lineorder.lo_orderdate	uncompr
part.p_category	uncompr
date.d_datekey	uncompr
C_76	uncompr
C_80	uncompr
C_81	uncompr
X_82	static_vbp_32
X_84	static_vbp_30
X_85	dynamic_vbp
X_91	static_vbp_24
C_123	static_vbp_24
X_125	static_vbp_32
X_129	uncompr
X_128	uncompr
X_136_0	static_vbp_18
X_136	uncompr
C_170	static_vbp_24
X_172	static_vbp_18
X_175	static_vbp_24
X_176	uncompr
X_181_0	static_vbp_22
X_181_1	static_vbp_22
X_181	static_vbp_22
C_213	uncompr
X_215	uncompr
X_217	uncompr
X_233_0	uncompr
X_233_1	uncompr
X_233_2	uncompr
X_233	uncompr
X_235_0	uncompr
X_235_1	uncompr
X_235	uncompr
X_230_0	uncompr
X_230_1	static_vbp_12
X_230_2	static_vbp_16
X_230_3	static_vbp_12
X_230	static_vbp_12
C_245	uncompr
X_244	uncompr
C_248	uncompr
X_247	uncompr
X_250	uncompr
C_251	uncompr
X_253	uncompr
X_254	uncompr
X_255	uncompr
X_227_0	static_vbp_32
X_227_1	static_vbp_32
X_227_2	uncompr
X_227	uncompr
X_228_0	static_vbp_18
X_228_1	static_vbp_32
X_228_2	uncompr
X_228	uncompr
X_241	uncompr
X_256	uncompr
