colName	format
supplier.s_region	static_vbp_8
lineorder.lo_revenue	uncompr
date.d_datekey	static_vbp_25
lineorder.lo_orderdate	uncompr
date.d_year	uncompr
part.p_category	uncompr
part.p_partkey	uncompr
lineorder.lo_suppkey	static_vbp_18
supplier.s_suppkey	uncompr
lineorder.lo_partkey	uncompr
part.p_brand	static_vbp_10
C_59	uncompr
X_61	dynamic_vbp
X_63	uncompr
X_69	uncompr
C_100	for+dynamic_vbp
X_102	uncompr
X_106	uncompr
X_105	uncompr
X_113_0	uncompr
X_113	uncompr
X_137	uncompr
X_136	delta+dynamic_vbp
X_146_0	uncompr
X_146_1	uncompr
X_146	uncompr
X_148	uncompr
C_150	uncompr
X_149	uncompr
C_153	uncompr
X_152	uncompr
X_155	uncompr
X_156	uncompr
X_141_0	uncompr
X_141_1	uncompr
X_141	uncompr
X_157	uncompr
