colName	format	repetition	runtime
supplier.s_region	uncompr	1	7475185
supplier.s_region	uncompr	2	7498307
supplier.s_region	uncompr	3	7496768
supplier.s_region	static_vbp_3	1	7308073
supplier.s_region	static_vbp_3	2	7268440
supplier.s_region	static_vbp_3	3	7220544
supplier.s_region	static_vbp_4	1	7423688
supplier.s_region	static_vbp_4	2	7746346
supplier.s_region	static_vbp_4	3	7552782
supplier.s_region	static_vbp_8	1	7349215
supplier.s_region	static_vbp_8	2	7282003
supplier.s_region	static_vbp_8	3	7351170
supplier.s_region	dynamic_vbp	1	7443660
supplier.s_region	dynamic_vbp	2	7591783
supplier.s_region	dynamic_vbp	3	7690933
supplier.s_region	delta+dynamic_vbp	1	7504693
supplier.s_region	delta+dynamic_vbp	2	7469327
supplier.s_region	delta+dynamic_vbp	3	7443595
supplier.s_region	for+dynamic_vbp	1	7590222
supplier.s_region	for+dynamic_vbp	2	7600032
supplier.s_region	for+dynamic_vbp	3	7545232
lineorder.lo_revenue	static_vbp_24	1	7252913
lineorder.lo_revenue	static_vbp_24	2	7300343
lineorder.lo_revenue	static_vbp_24	3	7370523
lineorder.lo_revenue	static_vbp_32	1	7403784
lineorder.lo_revenue	static_vbp_32	2	7322786
lineorder.lo_revenue	static_vbp_32	3	7553179
date.d_year	static_vbp_11	1	7507164
date.d_year	static_vbp_11	2	7288928
date.d_year	static_vbp_11	3	7334237
date.d_year	static_vbp_12	1	7575302
date.d_year	static_vbp_12	2	7459169
date.d_year	static_vbp_12	3	7593417
date.d_year	static_vbp_16	1	7501129
date.d_year	static_vbp_16	2	7539691
date.d_year	static_vbp_16	3	7564576
lineorder.lo_orderdate	static_vbp_25	1	7224865
lineorder.lo_orderdate	static_vbp_25	2	7124437
lineorder.lo_orderdate	static_vbp_25	3	7075002
lineorder.lo_orderdate	static_vbp_26	1	7252466
lineorder.lo_orderdate	static_vbp_26	2	7139210
lineorder.lo_orderdate	static_vbp_26	3	7052672
lineorder.lo_orderdate	static_vbp_32	1	7328383
lineorder.lo_orderdate	static_vbp_32	2	7411842
lineorder.lo_orderdate	static_vbp_32	3	7448936
part.p_partkey	static_vbp_21	1	7480128
part.p_partkey	static_vbp_21	2	7499592
part.p_partkey	static_vbp_21	3	7491737
part.p_partkey	static_vbp_22	1	7306175
part.p_partkey	static_vbp_22	2	7332913
part.p_partkey	static_vbp_22	3	7482984
part.p_partkey	static_vbp_24	1	7493573
part.p_partkey	static_vbp_24	2	7554320
part.p_partkey	static_vbp_24	3	7535938
part.p_partkey	static_vbp_32	1	7463928
part.p_partkey	static_vbp_32	2	7480060
part.p_partkey	static_vbp_32	3	7499369
part.p_brand	static_vbp_10	1	7377946
part.p_brand	static_vbp_10	2	7516299
part.p_brand	static_vbp_10	3	7384518
part.p_brand	static_vbp_16	1	7267603
part.p_brand	static_vbp_16	2	7281425
part.p_brand	static_vbp_16	3	7280912
date.d_datekey	static_vbp_25	1	7435440
date.d_datekey	static_vbp_25	2	7477191
date.d_datekey	static_vbp_25	3	7428757
date.d_datekey	static_vbp_26	1	7243255
date.d_datekey	static_vbp_26	2	7399248
date.d_datekey	static_vbp_26	3	7316659
date.d_datekey	static_vbp_32	1	7517878
date.d_datekey	static_vbp_32	2	7438077
date.d_datekey	static_vbp_32	3	7509700
date.d_datekey	dynamic_vbp	1	7739739
date.d_datekey	dynamic_vbp	2	7612375
date.d_datekey	dynamic_vbp	3	7497405
date.d_datekey	delta+dynamic_vbp	1	7332278
date.d_datekey	delta+dynamic_vbp	2	7301419
date.d_datekey	delta+dynamic_vbp	3	7314684
date.d_datekey	for+dynamic_vbp	1	7495057
date.d_datekey	for+dynamic_vbp	2	7538409
date.d_datekey	for+dynamic_vbp	3	7537225
lineorder.lo_suppkey	static_vbp_18	1	7212827
lineorder.lo_suppkey	static_vbp_18	2	7228901
lineorder.lo_suppkey	static_vbp_18	3	7446100
lineorder.lo_suppkey	static_vbp_24	1	7070580
lineorder.lo_suppkey	static_vbp_24	2	7015224
lineorder.lo_suppkey	static_vbp_24	3	6996769
lineorder.lo_suppkey	static_vbp_32	1	6932391
lineorder.lo_suppkey	static_vbp_32	2	6939326
lineorder.lo_suppkey	static_vbp_32	3	6887919
lineorder.lo_suppkey	dynamic_vbp	1	7521423
lineorder.lo_suppkey	dynamic_vbp	2	7676803
lineorder.lo_suppkey	dynamic_vbp	3	7689329
lineorder.lo_suppkey	delta+dynamic_vbp	1	7026209
lineorder.lo_suppkey	delta+dynamic_vbp	2	6911995
lineorder.lo_suppkey	delta+dynamic_vbp	3	6989718
lineorder.lo_suppkey	for+dynamic_vbp	1	6576894
lineorder.lo_suppkey	for+dynamic_vbp	2	6642593
lineorder.lo_suppkey	for+dynamic_vbp	3	6537716
lineorder.lo_partkey	static_vbp_20	1	7561313
lineorder.lo_partkey	static_vbp_20	2	7416541
lineorder.lo_partkey	static_vbp_20	3	7413478
lineorder.lo_partkey	static_vbp_24	1	7368552
lineorder.lo_partkey	static_vbp_24	2	7317651
lineorder.lo_partkey	static_vbp_24	3	7647750
lineorder.lo_partkey	static_vbp_32	1	7504205
lineorder.lo_partkey	static_vbp_32	2	7512115
lineorder.lo_partkey	static_vbp_32	3	7920771
supplier.s_suppkey	static_vbp_18	1	7447023
supplier.s_suppkey	static_vbp_18	2	7552228
supplier.s_suppkey	static_vbp_18	3	7466061
supplier.s_suppkey	static_vbp_24	1	7818898
supplier.s_suppkey	static_vbp_24	2	7813595
supplier.s_suppkey	static_vbp_24	3	7469621
supplier.s_suppkey	static_vbp_32	1	7667761
supplier.s_suppkey	static_vbp_32	2	7528056
supplier.s_suppkey	static_vbp_32	3	7582112
C_59	static_vbp_18	1	7406988
C_59	static_vbp_18	2	7821883
C_59	static_vbp_18	3	7594295
C_59	static_vbp_24	1	7380212
C_59	static_vbp_24	2	7358475
C_59	static_vbp_24	3	7328635
C_59	static_vbp_32	1	7705212
C_59	static_vbp_32	2	7261408
C_59	static_vbp_32	3	7462033
C_59	dynamic_vbp	1	7219897
C_59	dynamic_vbp	2	7184145
C_59	dynamic_vbp	3	7216637
C_59	delta+dynamic_vbp	1	7821549
C_59	delta+dynamic_vbp	2	7313995
C_59	delta+dynamic_vbp	3	7358464
C_59	for+dynamic_vbp	1	7536573
C_59	for+dynamic_vbp	2	7989028
C_59	for+dynamic_vbp	3	7466144
X_61	static_vbp_18	1	7384900
X_61	static_vbp_18	2	7471102
X_61	static_vbp_18	3	7468425
X_61	static_vbp_24	1	7718190
X_61	static_vbp_24	2	7292585
X_61	static_vbp_24	3	7552673
X_61	static_vbp_32	1	7425492
X_61	static_vbp_32	2	7448527
X_61	static_vbp_32	3	7479919
X_61	dynamic_vbp	1	7341835
X_61	dynamic_vbp	2	7478021
X_61	dynamic_vbp	3	7859666
X_61	delta+dynamic_vbp	1	7578230
