query	repetition	runtime [ms]
1.1	1	6876.965
1.1	2	6017.122
1.1	3	5951.874
1.1	4	5957.482
1.1	5	5850.700
1.1	6	5881.132
1.1	7	5958.631
1.1	8	5987.137
1.1	9	6156.613
1.1	10	6669.536
1.1	11	6094.490
1.1	12	6064.342
1.2	1	3813.644
1.2	2	3826.239
1.2	3	3853.291
1.2	4	3811.044
1.2	5	3818.022
1.2	6	3810.334
1.2	7	3830.248
1.2	8	3804.487
1.2	9	4543.116
1.2	10	3723.285
1.2	11	3826.783
1.2	12	3836.534
1.3	1	3774.183
1.3	2	3792.861
1.3	3	3768.977
1.3	4	3723.626
1.3	5	3792.466
1.3	6	3749.340
1.3	7	3741.138
1.3	8	3737.551
1.3	9	3780.477
1.3	10	3644.886
1.3	11	4438.624
1.3	12	3627.785
2.1	1	16409.140
2.1	2	15861.293
2.1	3	16568.575
2.1	4	16320.880
2.1	5	15727.421
2.1	6	16864.474
2.1	7	16600.097
2.1	8	16525.074
2.1	9	16327.311
2.1	10	16920.671
2.1	11	16939.908
2.1	12	16392.659
2.2	1	15987.959
2.2	2	15460.220
2.2	3	15322.656
2.2	4	15481.720
2.2	5	15845.986
2.2	6	15779.760
2.2	7	15257.762
2.2	8	16481.601
2.2	9	16065.547
2.2	10	16256.167
2.2	11	15585.990
2.2	12	15787.367
2.3	1	15360.674
2.3	2	15567.430
2.3	3	15907.662
2.3	4	15273.094
2.3	5	14982.404
2.3	6	15622.600
2.3	7	15892.007
2.3	8	15064.676
2.3	9	15013.331
2.3	10	15833.488
2.3	11	15936.681
2.3	12	15087.729
3.1	1	45373.903
3.1	2	44165.103
3.1	3	45753.996
3.1	4	44232.482
3.1	5	43916.025
3.1	6	46261.755
3.1	7	45899.090
3.1	8	44002.547
3.1	9	44870.841
3.1	10	44172.173
3.1	11	45839.636
3.1	12	44401.625
3.2	1	30598.913
3.2	2	34034.189
3.2	3	30329.854
3.2	4	31952.980
3.2	5	32046.128
3.2	6	32285.031
3.2	7	30335.102
3.2	8	32715.864
3.2	9	30678.449
3.2	10	31730.929
3.2	11	30472.667
3.2	12	31927.934
3.3	1	4360.138
3.3	2	3906.811
3.3	3	4301.673
3.3	4	3844.898
3.3	5	3857.984
3.3	6	3883.636
3.3	7	4041.808
3.3	8	4087.898
3.3	9	4089.048
3.3	10	4003.949
3.3	11	3875.384
3.3	12	3851.447
3.4	1	3819.453
3.4	2	3822.924
3.4	3	3820.992
3.4	4	4230.111
3.4	5	3840.398
3.4	6	3854.456
3.4	7	3878.779
3.4	8	4041.082
3.4	9	4093.174
3.4	10	4093.180
3.4	11	3999.262
3.4	12	3865.314
4.1	1	35866.801
4.1	2	35778.961
4.1	3	36990.598
4.1	4	35325.835
4.1	5	35424.223
4.1	6	36952.620
4.1	7	35560.380
4.1	8	36112.652
4.1	9	35719.347
4.1	10	40834.363
4.1	11	40831.794
4.1	12	36702.593
4.2	1	20079.247
4.2	2	18005.114
4.2	3	17768.839
4.2	4	18413.130
4.2	5	18530.230
4.2	6	19152.174
4.2	7	18280.279
4.2	8	20177.060
4.2	9	20120.022
4.2	10	18943.323
4.2	11	18477.707
4.2	12	19390.136
4.3	1	11017.840
4.3	2	10851.773
4.3	3	11288.734
4.3	4	11606.650
4.3	5	11122.181
4.3	6	11773.668
4.3	7	10897.880
4.3	8	10852.893
4.3	9	11785.508
4.3	10	11136.457
4.3	11	11534.540
4.3	12	11144.429
