query	repetition	runtime [ms]
1.1	1	17166.119
1.1	2	5654.221
1.1	3	5448.147
1.1	4	5429.859
1.1	5	5723.872
1.1	6	5770.186
1.1	7	5664.760
1.1	8	5400.107
1.1	9	5434.199
1.1	10	5496.643
1.1	11	5399.249
1.1	12	5545.176
1.2	1	3669.589
1.2	2	3602.539
1.2	3	3548.090
1.2	4	3505.331
1.2	5	3525.479
1.2	6	3519.786
1.2	7	3599.685
1.2	8	3719.785
1.2	9	3451.444
1.2	10	3571.897
1.2	11	3514.998
1.2	12	3519.894
1.3	1	3366.784
1.3	2	3394.848
1.3	3	3634.079
1.3	4	3531.638
1.3	5	3345.405
1.3	6	3381.922
1.3	7	3499.190
1.3	8	3277.293
1.3	9	3279.489
1.3	10	3338.530
1.3	11	3656.601
1.3	12	3375.003
2.1	1	15137.821
2.1	2	15321.826
2.1	3	15556.575
2.1	4	15523.494
2.1	5	15784.489
2.1	6	16861.211
2.1	7	15894.152
2.1	8	15574.159
2.1	9	15065.254
2.1	10	16429.926
2.1	11	15866.896
2.1	12	15941.560
2.2	1	13985.433
2.2	2	14694.774
2.2	3	15411.715
2.2	4	15102.400
2.2	5	14381.402
2.2	6	14104.929
2.2	7	15007.885
2.2	8	14308.950
2.2	9	14057.287
2.2	10	15082.240
2.2	11	13948.912
2.2	12	16092.031
2.3	1	13752.774
2.3	2	13575.812
2.3	3	13859.009
2.3	4	13950.419
2.3	5	13658.386
2.3	6	13664.103
2.3	7	13852.885
2.3	8	13305.907
2.3	9	14479.589
2.3	10	13408.802
2.3	11	13788.122
2.3	12	14163.533
3.1	1	39314.960
3.1	2	41209.856
3.1	3	40813.921
3.1	4	38337.327
3.1	5	37440.182
3.1	6	41420.595
3.1	7	38905.770
3.1	8	40646.044
3.1	9	37955.976
3.1	10	40314.262
3.1	11	39453.369
3.1	12	39928.589
3.2	1	27079.166
3.2	2	28970.852
3.2	3	25950.055
3.2	4	26992.489
3.2	5	26105.657
3.2	6	25880.178
3.2	7	27051.328
3.2	8	28756.630
3.2	9	25726.970
3.2	10	26891.548
3.2	11	27304.873
3.2	12	27925.272
3.3	1	4567.425
3.3	2	4355.085
3.3	3	4075.422
3.3	4	4075.138
3.3	5	4559.784
3.3	6	4386.554
3.3	7	4037.025
3.3	8	4124.703
3.3	9	4073.141
3.3	10	4084.851
3.3	11	4136.886
3.3	12	4349.873
3.4	1	4220.344
3.4	2	4290.105
3.4	3	4145.403
3.4	4	4194.005
3.4	5	4724.435
3.4	6	4021.926
3.4	7	4017.175
3.4	8	4003.597
3.4	9	4015.183
3.4	10	4019.904
3.4	11	4038.689
3.4	12	4069.033
4.1	1	31355.614
4.1	2	31481.502
4.1	3	34324.958
4.1	4	34881.497
4.1	5	33624.891
4.1	6	34051.651
4.1	7	33209.284
4.1	8	33548.063
4.1	9	34937.532
4.1	10	30579.707
4.1	11	33600.146
4.1	12	30386.612
4.2	1	16159.118
4.2	2	15227.994
4.2	3	15631.287
4.2	4	18598.769
4.2	5	16208.261
4.2	6	15645.041
4.2	7	17463.324
4.2	8	16814.873
4.2	9	15522.375
4.2	10	17742.249
4.2	11	16794.431
4.2	12	15422.651
4.3	1	10577.473
4.3	2	9048.323
4.3	3	8974.374
4.3	4	9340.148
4.3	5	9127.490
4.3	6	9336.454
4.3	7	9304.470
4.3	8	9142.102
4.3	9	8992.807
4.3	10	9699.000
4.3	11	9833.876
4.3	12	9489.385
