LogFilename: 2020-06-09-00:57:46_monitoringLog
JSonLogFilename: 2020-06-09-00:57:46_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	5081938
select	1	136
my_project_wit_t	2	284
semi_join	3	3608262
my_project_wit_t	4	410200
select	5	998
my_project_wit_t	6	40
join	7	230275
my_project_wit_t	8	444989
my_project_wit_t	9	1818
join	10	1273
my_project_wit_t	11	21
my_project_wit_t	12	444
my_project_wit_t	13	455
my_project_wit_t	14	450
group_vec	15	2730
group_vec	16	3609
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	373263
my_project_wit_t	20	2312
my_project_wit_t	21	176
agg_sum	22	135
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
