LogFilename: 2020-06-09-03:13:07_monitoringLog
JSonLogFilename: 2020-06-09-03:13:07_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	7467715
select	1	264
my_project_wit_t	2	166
semi_join	3	4971536
my_project_wit_t	4	625932
select	5	941
my_project_wit_t	6	33
join	7	272174
my_project_wit_t	8	791344
my_project_wit_t	9	1900
join	10	1273
my_project_wit_t	11	20
my_project_wit_t	12	460
my_project_wit_t	13	448
my_project_wit_t	14	454
group_vec	15	2779
group_vec	16	3117
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	792918
my_project_wit_t	20	1572
my_project_wit_t	21	187
agg_sum	22	132
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
