LogFilename: 2020-06-15-15:42:46_monitoringLog
JSonLogFilename: 2020-06-15-15:42:46_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	1913831
select	1	528
select	2	501
merge_sorted	3	180
my_project_wit_t	4	388
join	5	1739712
my_project_wit_t	6	46377
select	7	52
select	8	28
merge_sorted	9	11
my_project_wit_t	10	33
join	11	13708
my_project_wit_t	12	50205
my_project_wit_t	13	448
select	14	6
my_project_wit_t	15	3
join	16	384
my_project_wit_t	17	55468
my_project_wit_t	18	426
my_project_wit_t	19	4
my_project_wit_t	20	12
my_project_wit_t	21	54
my_project_wit_t	22	2
my_project_wit_t	23	184
my_project_wit_t	24	4800
my_project_wit_t	25	187
my_project_wit_t	26	3
my_project_wit_t	27	6
my_project_wit_t	28	6
group_vec	29	14
group_vec	30	11
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
