LogFilename: 2020-06-09-11:37:43_monitoringLog
JSonLogFilename: 2020-06-09-11:37:43_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	5860261
select	1	185
my_project_wit_t	2	121
semi_join	3	4252226
my_project_wit_t	4	444287
select	5	495
my_project_wit_t	6	21
join	7	263048
my_project_wit_t	8	444868
my_project_wit_t	9	1547
join	10	898
my_project_wit_t	11	18
my_project_wit_t	12	266
my_project_wit_t	13	409
my_project_wit_t	14	263
group_vec	15	2729
group_vec	16	3163
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	444031
my_project_wit_t	20	1351
my_project_wit_t	21	133
agg_sum	22	121
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
