LogFilename: 2020-06-09-04:34:45_monitoringLog
JSonLogFilename: 2020-06-09-04:34:45_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	2067361
select	1	2023
select	2	2035
merge_sorted	3	183
my_project_wit_t	4	308
join	5	1909337
my_project_wit_t	6	40302
select	7	143
select	8	96
merge_sorted	9	14
my_project_wit_t	10	21
join	11	10714
my_project_wit_t	12	40589
my_project_wit_t	13	359
select	14	3
my_project_wit_t	15	0
join	16	384
my_project_wit_t	17	40484
my_project_wit_t	18	357
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	146
my_project_wit_t	22	1
my_project_wit_t	23	317
my_project_wit_t	24	19032
my_project_wit_t	25	379
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	10
group_vec	30	10
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
